year,month,file_name,file_path,file_size_bytes,checksum_sha256,download_timestamp,row_count_estimate,status,error_message
2021,1,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_1.zip,data\raw\ontime\year=2021\month=01\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_1.zip,17937103,058bc6f1f017824ebdbbd2ce3da4d5eafd6f4ca58ad823bcce8511434cbdb864,2026-06-17T14:48:56.963592,361428,extracted,
2021,2,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_2.zip,data\raw\ontime\year=2021\month=02\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_2.zip,16566293,d3cd897cf27c0c082abc3f45483e3bc8ceec86241c3569b575d3d0a86b1d75ca,2026-06-17T14:53:01.256731,332468,extracted,
2021,3,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_3.zip,data\raw\ontime\year=2021\month=03\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_3.zip,22052696,9ca9cab885ac61e2a7d61541474f5d302dab56aca5049ce79f5147608daf105e,2026-06-17T14:57:01.494740,444476,extracted,
2021,4,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_4.zip,data\raw\ontime\year=2021\month=04\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_4.zip,22456535,24801da98cf769b61dc3e6ed7a978d6891124f38a2b6d4965d791664753be163,2026-06-17T15:02:09.011076,450637,extracted,
2021,5,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_5.zip,data\raw\ontime\year=2021\month=05\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_5.zip,24793587,f7c1bc0e3f8fca8236dd1b19920d9f4240b1bff1f582b1576fab08b81372b037,2026-06-17T15:07:51.641417,495544,extracted,
2021,6,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_6.zip,data\raw\ontime\year=2021\month=06\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_6.zip,28441672,6fd695a0fb6fced47d1a0f046088fe38b19ae88e5627266a7d509a596d827a99,2026-06-17T15:12:23.737035,546124,extracted,
2021,7,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_7.zip,data\raw\ontime\year=2021\month=07\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_7.zip,30524039,756b7b741cfce3d7531435e5a67005241688b591cb7281994fd189685ddd43bd,2026-06-17T17:22:57.711664,583258,extracted,
2021,8,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_8.zip,data\raw\ontime\year=2021\month=08\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_8.zip,30286200,c46387fe04caed6a3a5118962499c32a02552edac3986f305ebbb994e89b169b,2026-06-17T17:26:54.495876,579179,extracted,
2021,9,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_9.zip,data\raw\ontime\year=2021\month=09\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_9.zip,27453392,6c883fa9768260f8d3cb65bcb5c9a19e5ba62ba74d69a281200ac9e49d22c369,2026-06-17T17:30:34.224545,538051,extracted,
2021,10,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_10.zip,data\raw\ontime\year=2021\month=10\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_10.zip,29062376,0cf734917438db10c46ddaea5af565f6ce9d01efd5f7f7dd58b506ed46a3a1e1,2026-06-17T17:34:50.468386,564788,extracted,
2021,11,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_11.zip,data\raw\ontime\year=2021\month=11\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_11.zip,28360983,2a809f9c05610a5d88fd1d8c0186028a7cafe1feb2dc0de1f92cbe501fa9888f,2026-06-17T17:38:29.478796,547559,extracted,
2021,12,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_12.zip,data\raw\ontime\year=2021\month=12\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2021_12.zip,29177719,7d2a51f0b91ac0e6ebcfd1fdc6003033e0c1db177a9ee94949763fa1c28f5e32,2026-06-17T17:42:29.950808,551885,extracted,
2022,1,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2022_1.zip,data\raw\ontime\year=2022\month=01\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2022_1.zip,27656931,ca1ae860eaa54f1f5dca6764ae594359bd13bee5a98a9e1d39082733e2fffeeb,2026-06-17T17:44:49.959143,537902,extracted,
2022,2,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2022_2.zip,data\raw\ontime\year=2022\month=02\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2022_2.zip,24207473,e9124a0af49f69fdf3354de28c929ed03ddf3e685b86820d08bff5230e786b8b,2026-06-17T17:47:08.053482,495713,extracted,
2022,3,On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2022_3.zip,data\raw\ontime\year=2022\month=03\On_Time_Reporting_Carrier_On_Time_Performance_1987_present_2022_3.zip,27939418,90ed43e200ba70e19c9817c7e08125245518fd083815b348ec0799aff0fd00c5,2026-06-17T17:51:15.560152,564853,extracted,
